date_heure,consommation_mw,nucleaire,eolien,solaire,hydraulique,gaz,charbon,fioul,bioenergies,taux_co2,ech_physiques,heure,prix_eur_mwh,tranche_prix,id_temps
2025-01-01 01:00:00+01:00,62487.0,45233.0,11341.0,0.0,5511.0,1821.0,16.0,89.0,1252.0,19.0,-274.0,0,18.92,Bon marché,1
2025-01-01 01:30:00+01:00,62236.0,45012.0,11617.0,0.0,5567.0,1707.0,16.0,90.0,1239.0,18.0,-494.0,0,18.92,Bon marché,2
2025-01-01 02:00:00+01:00,61797.0,44670.0,11648.0,0.0,5498.0,1710.0,16.0,90.0,1238.0,18.0,-549.0,1,16.66,Bon marché,3
2025-01-01 02:30:00+01:00,61762.0,44840.0,11879.0,0.0,5280.0,1634.0,16.0,89.0,1237.0,18.0,-413.0,1,16.66,Bon marché,4
2025-01-01 03:00:00+01:00,60405.0,44057.0,12013.0,0.0,5094.0,1611.0,16.0,89.0,1234.0,18.0,-761.0,2,13.1,Bon marché,5
2025-01-01 03:30:00+01:00,59242.0,43429.0,12209.0,0.0,4602.0,1616.0,16.0,90.0,1233.0,18.0,-967.0,2,13.1,Bon marché,6
2025-01-01 04:00:00+01:00,57994.0,42441.0,12333.0,0.0,4487.0,1653.0,17.0,89.0,1233.0,19.0,-1144.0,3,5.9,Très bon marché,7
2025-01-01 04:30:00+01:00,57219.0,41720.0,12515.0,0.0,4358.0,1647.0,17.0,90.0,1230.0,19.0,-1062.0,3,5.9,Très bon marché,8
2025-01-01 05:00:00+01:00,56492.0,41184.0,12649.0,0.0,4192.0,1648.0,17.0,90.0,1226.0,19.0,-1147.0,4,9.27,Très bon marché,9
2025-01-01 05:30:00+01:00,56682.0,41437.0,12792.0,0.0,4354.0,1637.0,17.0,91.0,1228.0,19.0,-1824.0,4,9.27,Très bon marché,10
2025-01-01 06:00:00+01:00,56557.0,41139.0,13048.0,0.0,4355.0,1669.0,17.0,91.0,1222.0,19.0,-1936.0,5,10.04,Bon marché,11
2025-01-01 06:30:00+01:00,57184.0,41829.0,13418.0,0.0,4322.0,1648.0,17.0,91.0,1219.0,19.0,-2111.0,5,10.04,Bon marché,12
2025-01-01 07:00:00+01:00,57373.0,41708.0,13755.0,0.0,4282.0,1669.0,16.0,92.0,1218.0,19.0,-2051.0,6,7.23,Très bon marché,13
2025-01-01 07:30:00+01:00,57612.0,41069.0,14154.0,0.0,4413.0,1674.0,17.0,92.0,1222.0,19.0,-1775.0,6,7.23,Très bon marché,14
2025-01-01 08:00:00+01:00,57706.0,40846.0,14308.0,0.0,4393.0,1698.0,16.0,91.0,1228.0,19.0,-1620.0,7,12.83,Bon marché,15
2025-01-01 08:30:00+01:00,57696.0,41639.0,14416.0,12.0,4322.0,1711.0,16.0,91.0,1231.0,19.0,-2604.0,7,12.83,Bon marché,16
2025-01-01 09:00:00+01:00,57872.0,42260.0,14656.0,226.0,4369.0,1713.0,16.0,92.0,1238.0,19.0,-3465.0,8,13.76,Bon marché,17
2025-01-01 09:30:00+01:00,58113.0,42653.0,15036.0,933.0,4399.0,1719.0,16.0,92.0,1234.0,18.0,-4735.0,8,13.76,Bon marché,18
2025-01-01 10:00:00+01:00,58794.0,42443.0,15198.0,1982.0,4260.0,1690.0,17.0,93.0,1239.0,18.0,-4846.0,9,17.95,Bon marché,19
2025-01-01 10:30:00+01:00,59280.0,42490.0,15221.0,3160.0,3974.0,1709.0,16.0,92.0,1245.0,18.0,-5449.0,9,17.95,Bon marché,20
2025-01-01 11:00:00+01:00,59741.0,42228.0,15185.0,4368.0,3865.0,1672.0,16.0,93.0,1228.0,17.0,-5682.0,10,20.59,Bon marché,21
2025-01-01 11:30:00+01:00,60339.0,42467.0,15271.0,5459.0,3860.0,1712.0,16.0,94.0,1205.0,17.0,-7292.0,10,20.59,Bon marché,22
